order,id,page_id,Page,page_order,Chapter,question_order,questiontext
128,131,21,Negative Angles - I,21,Circle Positions,4,"What about values of ? in the range from -90° to -180°?</p>
These angles will be positioned within the quarter of circle between the negative y-axis and the negative x-axis. Which quadrant is that?
<select>
<option data-explain='We will pass through the lower-right quadrant when we perform a rotation from 0° to -90°. Which quadrant will we arrive if we keep going in this direction?'>upper-right</option>
<option data-explain='We will pass through the lower-right quadrant when we perform a rotation from 0° to -90°. Which quadrant will we arrive if we keep going in this direction?'>upper-left</option>
<option class='correct'>lower-left</option>
</select>"
129,132,21,Negative Angles - I,21,Circle Positions,5,"Great! Now, try to place the point at ? = <span class=""insert stimulus"">-160</span>°."
130,133,21,Negative Angles - I,21,Circle Positions,6,"Let's mark where ? = <span class=""insert stimulus""></span>°!"
131,134,22,Negative Angles - II,22,Circle Positions,1,"Let’s look at a few more rotations in the negative direction around the unit circle! 
</p>
When the variable ? goes beyond -180°, the point will keep rotating above the x-axis until it reaches the position of ? = -360°. "
132,135,22,Negative Angles - II,22,Circle Positions,2,"How does it travel from -180° to -360° above the x-axis?
<select>
<option class='correct'>from left to right</option>
<option data-explain='-180° is at the negative x-axis; -360° is at the positive x-axis. How does a point travel from -180° to -360°, in the negative direction?'>from right to left</option>
</select>"
133,136,22,Negative Angles - II,22,Circle Positions,3,"<p>As before, we have divided the circle within each quadrant into 90 parts, allowing you to position the point so that its radial line corresponds to any angle within the range of -180° to -270°, as well as the range of -270° to -360°.
</p>
Here, it is convenient to use -270° as a landmark. Notice that -270° is located at exactly the same position as 90°, since a 90° rotation in the positive direction from 0° and a 270° rotation in the negative direction from 0° will lead us to the same place.
</p>
For example, if you want to mark -250°, you will notice that its negative rotation hasn’t gone past -270°, and therefore should be a little to the left of -270° (i.e. a little to the left of 90°). 
</p>
Now, go ahead and mark <span class=""insert stimulus"">-250</span>° on the unit circle."
134,137,22,Negative Angles - II,22,Circle Positions,4,"Now let’s practice! Mark <span class=""insert stimulus""></span>° on the circle."
135,138,23,Cycles of a Circle,23,Circle Rotations,1,"What exactly is the relationship between positions around the unit circle and the amount of rotation?
</p>
To figure this out, let’s first mark where ?=<span class='insert stimulus'>0</span>° is."
136,139,23,Cycles of a Circle,23,Circle Rotations,2,"Now rotate from 0° to 360°.  Mark where ?=<span class='insert stimulus'>360</span>° is.
"
137,140,23,Cycles of a Circle,23,Circle Rotations,3,"The point progressed all the way around the unit circle as you performed a rotation. When you completed 360°, the point's position was right back to where it started!
</p> 
Thus, we can say that the point’s position (P) associated with a rotation of 0° is the same as the point's position associated with a rotation of 360°.
</p>
Let us introduce an abbreviation, called the position P, that captures this fact: 
</p>
P(360°) = P(0°)
</p>
The abbreviation P(?) takes the value of a variable ?, and stands for its position on the unit circle. The equation P(360°) = P(0°) expresses the fact that both 360° and 0° correspond to the same position."
138,141,23,Cycles of a Circle,23,Circle Rotations,4,"Let’s now think about positions associated with values of ? that lie outside the range of 0°~360°.  
</p>
First, consider positive values, such as 375°.  We can see this value as representing a rotation of 360°, then progressing 15 degrees further. Of course, this position corresponds to the position we would reach with a 15° rotation. 
</p>
Now, try marking the position of ?=<span class='insert stimulus'>375</span>°."
139,142,23,Cycles of a Circle,23,Circle Rotations,5,"<p>In general, it should be intuitively clear that 
</p>
P(360° + ?) = P(?)
</p>
for any value of ?.  In fact, it is also true that P(n*360° + ?) = P(?), where n can be any whole number.
</p>
What does this equation mean?"
140,143,23,Cycles of a Circle,23,Circle Rotations,6,"It means that we could proceed all the way around the circle as many times as we would like (where n is the number of times), and then further proceed ? degrees around the circle. The point would end up in the same place as if we had just gone ? degrees.
</p>
So, if you see a value of ? larger than 360°, you can find its position by subtracting 360° as many times as you need to, to get a number between 0° and 360°.  You may want to use a pencil and paper to make sure you do the arithmetic correctly!"
141,144,23,Cycles of a Circle,23,Circle Rotations,7,"Where is ? = <span class=""insert stimulus""></span>°? Mark its position on the circle."
142,145,24,Negative Cycles,24,Circle Rotations,1,"It is useful to note that the expression
</p>
P(360° + ?) = P(?)
</p>
also applies to negative values of ?. For example, consider ? = -30°. We can reach this position either by <i>proceeding in the positive direction by 360° and then going in the negative direction for 30°</i>, or by <i>simply going in the negative direction by 30°</i>, since P(360° - 30°) = P(-30°)."
143,146,24,Negative Cycles,24,Circle Rotations,2,"We can proceed as many times around the circle as we like in either the positive or negative direction, and then proceed any additional amount around the circle. Thus, as a very general rule,
</p>
P(n*360° + ?) = P(?)</p>
for all whole numbers n and for all values of ?; both n and ? can be positive, negative, or zero. Using this formula, and perhaps a pencil and paper to help with the arithmetic, you should be able to determine the position corresponding to any value of ?.
</p>
For example, suppose you want to find the position of -500°.  You could add 360° to -500° to get -140°, and then mark the position -140° on the circle.
</p>
Now, try to place the point at ? = <span class=""insert stimulus"">-375</span>°.</p>"
144,147,24,Negative Cycles,24,Circle Rotations,3,"Where is ? = <span class=""insert stimulus""></span>°? Mark it on the circle!"
145,148,25,Rotations to Same Position,25,Circle Rotations,1,"How do we determine the <i>smallest positive ?</i> of a negative position? 
</p>
If, say, we are given the negative position -45°; since P(-45°) = P(360°+(-45°)), we could determine that the <i>smallest positive ?</i> that maps to the same position as -45° is 315°. 
</p>
What is the dynamic procedure behind the search of this positive ?? We could first position the point at -45°, and then read the positive value off of the unit circle as we did when we were first considering positive positions in the fourth quadrant.  
</p>
In the case of -45°, since the positive position associated with the negative y-axis is 270°, we can proceed from here to count marks around the circle — in the positive direction — until we reached P(-45°) on the unit circle. We observe that it is 45° in the positive direction past 270°, and therefore, the <i>smallest positive ?</i> of -45° will be the sum of 270° and 45°.
</p>
(Notice that the <i>smallest positive ?</i> is always between 0° and 360°.).
</p>
Now, try to place the point at ? = <span class='insert stimulus'>-45</span>°."
146,149,25,Rotations to Same Position,25,Circle Rotations,2,"What is the value of the <i>smallest positive ?</i> of -45°?
<select>
<option data-explain='Remember that the smallest positive ? is always positive… so, it can’t be a negative value!'>-315°</option>
<option class='correct'>315°</option>
<option data-explain='Do 405° and -45° map to the same position in the circle? Keep in mind that the negative angle and its smallest positive ? should always be at the same position on the unit circle.'>405°</option>
</select>"
147,150,25,Rotations to Same Position,25,Circle Rotations,3,"What is the value of the <i>smallest positive ?</i> of -20°? You might want to mark -20° on the circle to help yourself figure this out.
<select>
<option data-explain='Do 380° and -20° map to the same position in the circle? Keep in mind that the negative angle and its smallest positive ? should always be at the same position on the unit circle.'>380°</option>
<option data-explain='Remember that the smallest positive ? is always positive… so, it can’t be a negative value!'>-340°</option>
<option class='correct'>340°</option>
</select>"
148,151,25,Rotations to Same Position,25,Circle Rotations,4,"What is the value of the <i>smallest positive ?</i> of -65°? Again, you might want to mark -65° on the circle to help yourself figure this out.
<select>
<option class='correct'>295°</option>
<option data-explain='Remember that the smallest positive ? is always positive… so, it can’t be a negative value!'>-295°</option>
<option data-explain='Do 425° and -65° map to the same position in the circle? Keep in mind that the negative angle and its smallest positive ? should always be at the same position on the unit circle.'>425°</option>
</select>"
149,152,26,Rotations to Same Positions - continued,26,Circle Rotations,1,"Let’s keep looking at negative angles beyond -90°, and consider their smallest positive ?. 
</p>
For example, consider ? = -105°.  In this case, we would proceed for another 15 degrees in the negative direction past the negative y-axis.  Mark where ? = <span class='insert stimulus'>-105</span>° is now."
150,153,26,Rotations to Same Positions - continued,26,Circle Rotations,2,"<p>How can we reach the point P(-105°) in a different way? </p>
We can reach the same point by rotating in the positive direction. In this case, we would proceed all the way from 0° past 180 degrees, then continue most of the way down to 270°. What is the total amount of this positive rotation? Enter that value now. <span class='insert stimulus hide'>255</span></p>"
151,154,26,Rotations to Same Positions - continued,26,Circle Rotations,3,"<p>Angles with negative values can extend all the way around the circle to -360°, which would bring us back to the starting place.  In fact, negative values could extend to any number, such as -3605°, which would correspond to ten full rotations and 5 more degrees in the negative direction.</p>
<p>Now, think for a moment: how do we break down the rotation for -375°? </p>"
152,155,26,Rotations to Same Positions - continued,26,Circle Rotations,4,"The best way is to think of the <i>amount</i> of this rotation separately from its <i>direction</i>.  The amount of the rotation is 375°, and the direction is negative.  So, we can subtract the amount of one complete rotation to find the additional rotation we need, which is 15°.  
</p>
Is this small rotation of 15° in the positive direction, or the negative direction? Go ahead and drag the point to the position on the unit circle we would reach by a rotation of <span class='insert stimulus'>-375</span>°."
153,156,26,Rotations to Same Positions - continued,26,Circle Rotations,5,"What is the value of ?, <b><i>between -360° and 0°</i></b>, that corresponds to this same position? Enter this value now! <span class='insert stimulus hide'>-15</span>"
154,157,26,Rotations to Same Positions - continued,26,Circle Rotations,6,What is the value of ? <b><i>between 0° and 360°</i></b> that corresponds to this same position?<span class='insert stimulus hide'>345</span>
155,158,26,Rotations to Same Positions - continued,26,Circle Rotations,7,"Great! One last question: if the position on the circle, P(?), is known, how many possible value(s) of ? are there in total that would correspond to the same position?
<select>
<option data-explain='Let’s say an angle’s endpoint is located at 5° on the circle. Can this angle be any value other than 5°?'>one</option>
<option data-explain='Let’s say an angle’s endpoint is located at 5° on the circle. Besides 5°, this angle could also be (360°+5°), (720°+5°), …, as well as (-360°+5°), (-720°+5°), … — there are far more than just two possibilities!'>two</option>
<option class='correct'>infinitely many</option>
</select>"
156,159,27,Moving on a Line,27,Circle Rotations,1,"Many mathematical ideas have their corresponding movements in the numerical space. This is true not just on the unit circle, but also on the number line at the very beginning of this course.
</p>
As you know, the origin of a horizontal axis is at position x = 0. Now, imagine a point <i>3 positive units away</i> from the origin. Starting from that position, perform the following movements: 
</p>
move 2 units in the positive direction;</p>
move 3 units in the negative direction;</p>
move 4 units in the negative direction.</p>
Where would the point end up?  Mark that final position. 
<span class='insert stimulus hide'>-2</span>"
157,160,27,Moving on a Line,27,Circle Rotations,2,"We can write down the steps involved here using mathematical notation. Our first number “3” refers to the starting place, and each additional number represents a movement, either in the positive or the negative direction. So, we could write: 
</p>
3 + (+2) + (-3) + (-4)
</p>
The expressions inside the parentheses indicate both the <i>direction</i> of motion (the sign + or – ) and the <i>amount</i> of motion (the numbers 0, 1, 2, etc.). Notice that the expression above can be reduced to a simpler arithmetic addition, which is 3 + 2 – 3 – 4; a series of moves in the positive and negative direction corresponds to a series of additions and subtractions.
</p>
So, the final position just is the result of this expression: 3 + 2 – 3 – 4 = -2."
158,161,27,Moving on a Line,27,Circle Rotations,3,"Now, let’s think about another case where we start at <i>x = -3</i>, then perform the following movements: </p>
move 2 units in the negative direction;</p>
move 3 units in the positive direction;</p>
move 4 units in the positive direction.</p>
We can write this situation as:
</p>
-3 + (-2) + (+3) + (+4) 
</p>
In this case, we can perform the sequence of <i>arithmetic operations</i> — starting with -3, subtracting 2, adding 3, and then adding 4. This will leads you to the same answer you would get by starting at -3 and then carrying out the corresponding <i>movements</i>.
</p>
Now, perform the sequence of movements on the number line, mark the point’s final position, and click Submit. <span class='insert stimulus hide'>2</span>"
159,162,27,Moving on a Line,27,Circle Rotations,4,"Now let’s think about motions a bit more generally. For every motion in the positive direction, is there a motion in the negative direction that cancels that motion completely?
<select>
<option class='correct'>always</option>
<option data-explain='In fact, every motion has a corresponding motion in the negative direction that cancels it completely!'>sometimes</option>
<option data-explain='In fact, every motion has a corresponding motion in the negative direction that cancels it completely!'>never</option>
</select>"
160,163,27,Moving on a Line,27,Circle Rotations,5,"There indeed exists such negative motion for every positive motion! 
</p>
For example, going five steps in the positive direction and then going five steps in the negative direction will bring us back to where we started.  So, we can think of a negative motion as a reversal of the corresponding positive motion.  Similarly, we can think of a positive motion as a reversal of the corresponding negative motion.
</p>
In algebraic notation, we represent the reversal of a motion by putting a minus sign before that motion’s expression. Thus for a motion “m”, we could write:</p>
reverse(m) = -(m)
<p>For the case where m is a positive motion, we get a negative motion.  For example, if m = 3 we get -3.  </p>
Now: starting from -1, perform the motion -(-3), and submit the point’s final position. <span class='insert stimulus hide'>2</span></p>"
161,164,28,Moving on a Circle,28,Circle Rotations,1,"<p>What about circles? Can we ever move back and forth around the unit circle? </p>
— Yes of course! We can, in fact, apply the same idea to rotational motion around the unit circle. Just like the way positive and negative motions specify a final position on the number line, we can also let positive and negative rotations specify a final position on the unit circle. </p>
For example, let’s consider the expression: 30° + 40°</p>
— What does it mean? </p>
<p>This expression can be understood as specifying a positive rotation of 30° from 0°, followed by a positive rotation of 40°. You can carry out this sequence of two rotations to produce the final result; alternatively, you can add the numbers first, and then carry out a single rotation of <span class=""insert stimulus"">70</span>°. 
</p>
Now, let’s perform the sequence of rotations.
</p>
Click on the position 0°, drag the point to perform the first rotation “30°”, and then drag to perform the second rotation “40°”."
162,165,28,Moving on a Circle,28,Circle Rotations,2,"What does 20° + (-70°) mean? </p>
The expression 20° + (-70°) can be understood as specifying a positive rotation of 20° from 0°, followed by a negative rotation of 70°.  This expression can be simplified as 20° – 70°.</p>
<p>Now click on 0°, rotate 20°, and then rotate -70° to reach the final position. <span class=""insert stimulus hide"">-50</span>
</p>"
163,166,28,Moving on a Circle,28,Circle Rotations,3,"<p>Besides carrying out the specific sequence of rotations to produce the final result, what else could you do to figure out that answer? 
</p>
You could first do the algebraic subtraction: 20° - 70° = -50°, and then rotate 50° in the negative direction — the result would be the same.</p>
<p>
Here is another expression: -20°-70° 
Now, use whichever strategy you prefer to find its final position.</p>
<span class=""insert stimulus hide"">-90</span>
</p>"
164,167,29,Reverse Movement,29,Circle Rotations,1,"<p>
What are the similarities between compound rotations around a circle and motions along a line? 
</p>
One similarity is that motions can be carried out in any order, as long as each motion is carried out only once. The result will always be the same — this is also true for rotations.
</p>
<p>Another similarity is that we can think of the minus sign in front of an expression as specifying a reversal operation.  For example, consider –(30°+50°). The negative sign reverses the two positive rotations “30°” and “50°”, turning both into negative rotations, i.e. (-30°) and (-50°).
</p>
Now, mark the final position of the angle –(30°+50°). <span class=""insert stimulus hide"">-80</span></p>"
165,168,29,Reverse Movement,29,Circle Rotations,2,"<p>What about -(40°-50°)? </p>
— What does it mean? And where will it end up?</p>
<p>
With a negative sign on the outside, we could reverse the sign of each angle inside the parentheses, to get -(40°) and -(-50°).  We will find the final position of the original expression by performing these two rotations from the starting position. </p>
The first would be a rotation of -40°. The second rotation would involve the reversal of a negative rotation –(-50°), or, a position rotation of 50°. 
</p>
Now, perform these two rotations on the circle. Where did you end up? <span class=""insert stimulus hide"">10</span>
</p>"
166,169,29,Reverse Movement,29,Circle Rotations,3,"<p>What would you do if you need to position the angle -(40°-50°), but don’t want to perform two rotations?</p>
You could first compute the two rotations inside the parentheses: (40°-50°) = -10°. Then, apply the minus sign outside the parentheses to reverse the result. This reverses the rotation ""-10°”, and the resulting rotation is 10°.</p>"
167,170,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,1,"From previous lessons, we have learned to represent points on the plane in terms of their <i>x- and y-coordinates</i>. We have also learned to represent points on the unit circle in terms of <i>positions that result from rotations</i>. 
</p>
Now, it is time for us to relate these things to each other. This new system, which links the x- and y-coordinates to positions on the unit circle, will be a great space for us to explore trigonometric expressions."
168,171,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,2,"Before we begin, we need to make sure you still remember what you’ve learned about the xy-coordinate system. Here’s one question:
</p>
“What does <i>x-coordinate</i> mean?""
</p>
Tom answers, <i>“it indicates the point’s horizontal position relative to the y-axis.""</i>
</p>
Do you think Tom is correct?
<select>
<option class='correct'>Yes</option>
<option data-explain='In fact, it’s true that the x-coordinate indicates a point’s horizontal position! To find the x-coordinate value of a given point, we can imagine a vertical line through that point intersecting with the x-axis, and then read its x-coordinate value on the x-axis.'>No</option>
</select>"
169,172,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,3,"Now, here is a second question:
</p>
“What does <i>y-coordinate</i> mean?""
</p>
Jerry answers, <i>“it indicates the point’s vertical position relative to the x-axis.""</i>
</p>
Do you think Jerry is correct?
<select>
<option class='correct'>Yes</option>
<option data-explain='In fact, it’s true that the y-coordinate indicates a point’s vertical position! To find the y-coordinate value of a given point, we can imagine a horizontal line through that point intersecting with the y-axis, and then read its y-coordinate value on the y-axis.'>No</option>
</select>"
170,173,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,4,"Indeed, both Tom and Jerry are correct!
</p>
The <i>x-coordinate</i> is a number that tells us where exactly a point is located horizontally. This number, x, indicates the point’s <i>horizontal position</i>. On the other hand, the <i>y-coordinate</i> is a number that tells us where exactly a point is located vertically. This number, y, indicates the point’s <i>vertical position</i>.
</p>
(To refresh your memory on the xy-coordinate plane, you may want to go back to the XY Plane and Reading XY Locations sections for a quick review!)"
171,174,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,5,"<p>Now, you are ready to associate the xy-coordinates with positions on the unit circle! 
</p>
Let’s start by clicking on the point that corresponds to 0° on the unit circle, and then submitting your response.</p> <span class=""insert stimulus hide"">0</span>"
172,175,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,6,"<p>What is the y-coordinate value of 0° on the unit circle?
</p>
Type this value in the box, and then submit. <span class=""insert stimulus hide"">0</span></p>"
173,176,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,7,"Next, make a small rotation (about 20°) in the positive direction from ? =0°, and watch what happens to the point’s y-coordinate.
</p>
As you drag the orange point 20° around the circle, you can watch its y-coordinate change by following the dotted line we have drawn to the y-axis, where it ends with a blue point positioned at the orange point’s y-coordinate."
174,177,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,8,"Does the y-coordinate get larger or smaller?
<select>
<option class='correct'>Larger</option>
<option data-explain='Look carefully at the point as it rotates from 0° to 20°. Does its height increase or decrease? If it is getting “higher"", then it means the y-coordinate is getting “larger”.'>Smaller</option>
</select>"
175,178,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,9,"Continue rotating slowly in the positive direction until you reach about 80°, and observe what happens to the point’s y-coordinate. Then, imagine the value it will have when ? = 90°, and type this value in the box. <span class=""insert stimulus hide"">90</span></p>"
176,179,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,10,"Keep rotating slowly in the positive direction until you reach about 170°, and observe what happens to the point’s y-coordinate. Then, imagine the value it will have when ? = 180°, and type this value in the box. <span class=""insert stimulus hide"">180</span></p>"
177,180,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,11,"Now keep rotating slowly again in the positive direction, until you reach about 260°, and observe what happens to the point’s y-coordinate. Then, imagine the value it will have when ? = 270°, and type this value in the box. <span class=""insert stimulus hide"">270</span></p>"
178,181,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,12,"Finally, continue rotating slowly in the positive direction until you reach about 350°, and observe what happens to the y-coordinate. Then, imagine the value it will have when ? = 360°, and type this value in the box. Note that this is also the value when ? = 0°. <span class=""insert stimulus hide"">0</span></p>"
179,182,30,Unit Circle Positions on XY Plane - I,30,Linking the Circle with the XY Plane,13,"So, as we have seen — the y-coordinate of an angle goes up, then down, and then back up again as we go around the unit circle from 0° to 360°!"
180,183,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,1,"So far we have been discussing the y-coordinates of points on the unit circle. The word <i>sine</i> can be used to refer to the y-coordinates of such points.
</p>
Whenever you see the expression sin(?) — ""the sine of ?” —  you can think of it as a way of saying “the y-coordinate of ?”. This expression relates rotations around the unit circle (represented by ?) to the y-coordinate of the point's position.
</p>
As an example, let’s mark the angle 30° on the unit circle, and consider this expression: </p>
sin(30°) 
</p>
The value of this expression is the y-coordinate of the point after a rotation of 30° from the positive x-axis.</p>
<p>
Rotate the point to 30°, find its y-coordinate by following the dotted line to the y-axis, and submit this value. This will be the sine value of 30°.</p>
<span class=""insert stimulus hide"">30</span>"
181,184,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,2,"We can also evaluate the sine of compound angles, i.e. when the input of the function has multiple parts. For example:
</p>
“What is the sine of (40°+90°)?”
</p>
Here, let’s combine the two rotations 40° and 90°. Find the final position of (40°+90°), read its y-coordinate, and submit your answer.
<span class=""insert stimulus hide"">130</span>"
182,185,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,3,"<p>To find the sine of any (simple or compound) angle, just perform these two steps:
</p>
<p>Step 1. find the position corresponding to the expression inside the parentheses;</p>
<p>Step 2. read the y-coordinate value of that position.</p>"
183,186,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,4,"So, what is the value of sin(180°+30°)?
<span class=""insert stimulus hide"">210</span>"
184,187,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,5,"Now, use the unit circle to help you answer this question: </p>
How does the sine value change as ? increases from 0° to 180°? </p>
(It may be useful to find the sine values of 0°, 90°, and 180°, respectively — we have actually done this already on the previous page!)
<select>
<option class='correct'>increase, then decrease</option>
<option data-explain='Notice that as ? moves from 0° to 90°, the sine value increases from 0 to 1. Then, as ? proceeds from 90° to 180°, the sine value decreases from 1 back to 0.'>keep increasing</option>
</select>"
185,188,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,6,"How does the sine value change as ? increases from 180° to 360°?
<select>
<option class='correct'>decrease, then increase</option>
<option data-explain='Notice that as ? moves from 180° to 270°, the sine value decreases from 0 to -1. Then, as ? proceeds from 270° to 360°, the sine value increases from -1 back to 0..'>keep decreasing</option>
</select>"
186,189,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,7,"Indeed, the sine of an angle increases from 0° to 90°, and then decreases from 90° to 180°.
</p>
As the angle keep rotating from 180°, its sine value will keep decreasing until the angle reaches 270°. Then, the sine value will increase as the angle proceeds from 270° to 360°."
187,190,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,8,"Let’s practice finding the sine of a few angles!
</p>
First, mark where ? = 40° on the circle.
<span class=""insert stimulus hide"">40</span>"
188,191,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,9,"Now, what's the value of sin(40°)? Remember that it is equivalent to the point's y-coordinate.
<span class=""insert stimulus hide"">40</span>"
189,192,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,10,"Mark where ? = 20° on the circle.
<span class=""insert stimulus hide"">20</span>"
190,193,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,11,"Now, what's the value of sin(20°)? Remember that it is equivalent to the point's y-coordinate.
<span class=""insert stimulus hide"">20</span>"
191,194,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,12,"Mark where ? = 70° on the circle.
<span class=""insert stimulus hide"">70</span>"
192,195,31,Sine: y-coordinate,31,Linking the Circle with the XY Plane,13,"Now, what's the value of sin(70°)? Remember that it is equivalent to the point's y-coordinate.
<span class=""insert stimulus hide"">70</span>"
193,196,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,1,"Now, let’s practice what you have learned with angles beyond 90°! </p>
Let’s start by marking ? = 110° on the circle, and then submitting your response. <span class=""insert stimulus hide"">110</span>"
194,197,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,2,"Now, enter the value of sin(<span class=""insert stimulus"">110</span>°). Remember that this is the y-coordinate of 110° on the unit circle.</p>"
195,198,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,3,"Mark ? = 150° on the circle, and submit your response. <span class=""insert stimulus hide"">150</span>"
196,199,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,4,"Now, enter the value of sin(<span class=""insert stimulus"">150</span>°). This is the y-coordinate of 150° on the circle."
197,200,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,5,"Mark ? = 230° on the circle, and submit your response. <span class=""insert stimulus hide"">230</span>"
198,201,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,6,"Now, enter the value of sin(<span class=""insert stimulus"">230</span>°)."
199,202,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,7,"Mark ? = 290° on the circle. <span class=""insert stimulus hide"">290</span>"
200,203,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,8,"What is the value of sin(<span class=""insert stimulus"">290</span>°)?"
201,204,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,9,"Mark ? = 320° on the circle. <span class=""insert stimulus hide"">320</span>"
202,205,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,10,"Finally, enter the value of sin(<span class=""insert stimulus"">320</span>°)."
203,206,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,11,"Just like positive angles, negative angles have their sine values too. Perhaps you may wonder: </p>
What is the value of sin(-50°)? </p>
To find <i>the sine of -50°</i>, first mark the angle -50° on the circle.
<span class=""insert stimulus hide"">-50</span>"
204,207,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,12,"Next, read the sine value of -50°. This will be the y-coordinate of -50° on the circle. </p>
Enter this value, and click Submit.
<span class=""insert stimulus hide"">-50</span>"
205,208,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,13,"Now, we would like to know the value of sin(-120°). Again, first mark the angle -120° on the circle.
<span class=""insert stimulus hide"">-120</span>"
206,209,32,Sine of Other Angles,32,Linking the Circle with the XY Plane,14,"Next, read the value of <i>the sine of -120°</i>.
<span class=""insert stimulus hide"">-120</span>"
207,210,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,1,"Recall that we have learned two ways of representing a point on the unit circle. </p>
We can write a pair of numbers to indicate their <i>x- and y-coordinates</i>. Alternatively, we can write a single number, in degrees, corresponding to the <i>position on the circle</i> in degrees."
208,211,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,2,"<p>In the beginning of this section, we have examined the point’s y-coordinate in a system that links the xy-plane to the unit circle. We have noticed that the y-coordinate of an angle goes up, then down, and then back up again as we go around the unit circle from 0° to 360°. 
</p>
Now, it’s time to look into the point’s x-coordinate. Start by clicking on the point that corresponds to 0° on the unit circle, and then submitting your response.
</p> 
<span class=""insert stimulus hide"">0</span>"
209,212,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,3,"What is the x-coordinate value of 0° on the unit circle? 
</p>
Type this value in the box, and then submit. <span class=""insert stimulus hide"">0</span></p>"
210,213,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,4,"Let’s see what happens to the point’s x-coordinate when we make a small rotation (about 20°) in the positive direction from 0°. Does the x-coordinate get larger or smaller?
</p>
(As you drag the orange point around the circle, you can watch its x-coordinate change by following the dotted line we have drawn to the x-axis, where it ends with a red point positioned at the orange point’s y-coordinate.)
<select>
<option data-explain='Look carefully at the point as it rotates from 0° to 20°. Does it move rightwards or leftwards? If it is ""moving rightwards"", then it means the x-coordinate is getting “larger”.'>Larger</option>
<option class='correct'>Smaller</option>
</select>"
211,214,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,5,"Continue rotating slowly in the positive direction until you reach about 80°, and observe what happens to the point’s x-coordinate. Imagine the value it will have when ? = 90°, and type this value in the box. <span class=""insert stimulus hide"">90</span></p>"
212,215,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,6,"Keep rotating slowly in the positive direction until you reach about 170°, and observe what happens to the point’s x-coordinate. Then, imagine the value it will have when ? = 180°, and type this value in the box. <span class=""insert stimulus hide"">180</span></p>"
213,216,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,7,"Now keep rotating slowly again in the positive direction, until you reach about 260°, and observe what happens to the point's x-coordinate. Then, imagine the value it will have when ? = 270°, and type this value in the box. <span class=""insert stimulus hide"">270</span></p>"
214,217,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,8,"Finally, continue rotating slowly in the positive direction until you reach about 350°, and observe what happens to the x-coordinate. Then, imagine the value it will have when ? = 360°, and type this value in the box. Note that this is also the value when ? = 0°. <span class=""insert stimulus hide"">360</span></p>"
215,218,33,Unit Circle Positions on XY Plane - II,33,Linking the Circle with the XY Plane,9,"We have noticed that the x-coordinate of an angle first goes down, and then goes up, as we go around the unit circle from 0° to 360°!"
